name,link,1D,30D,1Y
ABL Islamic Financial Planning Fund (Capital Preservation Plan I),https://sarmaaya.pk/mutual-funds/fund/b5b56f84-fff8-40f5-ad3a-27274fd3bd77,2.15%,0.96%,22.91%
Alhamra Smart Portfolio,https://sarmaaya.pk/mutual-funds/fund/9d0e69c7-17d5-48b2-87cf-3a8cc72dea68,-0.86%,0.25%,21.80%
Lakson Islamic Tactical Fund,https://sarmaaya.pk/mutual-funds/fund/51a8ddb3-15e8-45f5-86ef-ce87731399e7,0.02%,0.81%,21.53%
Alfalah Savings Growth Fund (Formerly: Faysal Savings Growth Fund),https://sarmaaya.pk/mutual-funds/fund/270d0eab-ce62-4eb6-b778-82000cc4d84f,58.07%,11.81%,21%
ABL Special Saving Fund (ABL Special Saving Plan VI),https://sarmaaya.pk/mutual-funds/fund/b4c9837c-fa61-4263-9c22-58befbf4a233,0.04%,1.15%,19.87%
Faysal Islamic Asset Allocation Fund,https://sarmaaya.pk/mutual-funds/fund/09886497-f946-44a8-8164-07e33fcca11f,0.07%,1.43%,19.85%
Alfalah Stable Return Plan IV,https://sarmaaya.pk/mutual-funds/fund/0748a31c-c0a4-44da-a276-07cd0188e7d4,11.10%,9.81%,19.51%
Alhamra Islamic Pension Fund,https://sarmaaya.pk/mutual-funds/fund/778b0ab0-b996-4c5c-8fda-d8f1d97841a9,10.15%,13.86%,19.51%
Pakistan Pension Fund,https://sarmaaya.pk/mutual-funds/fund/4fe1d97b-fe56-4906-8e2f-3b88b7d9b304,-5.51%,10.08%,19.49%
HBL Pension Fund,https://sarmaaya.pk/mutual-funds/fund/99d1bc52-3d50-4d37-9b4e-e882744cd003,61.39%,12.40%,19.22%
Alfalah GHP Pension Fund,https://sarmaaya.pk/mutual-funds/fund/b9cdaf90-89ab-4192-9ecf-c1243b9c8014,115.60%,19.06%,19.20%
UBL Government Securities Fund,https://sarmaaya.pk/mutual-funds/fund/cfe26d4d-ccca-40cf-a233-4a4a5a5f494e,72.27%,12.72%,19.11%
Pak Qatar Asset Allocation Plan I (PQAAP IA),https://sarmaaya.pk/mutual-funds/fund/fe9c0ed3-431c-4dda-b339-f46a41c3fa9e,0.04%,1.26%,18.79%
MCB Pakistan Sovereign Fund,https://sarmaaya.pk/mutual-funds/fund/699491a5-f0a1-4ff0-b999-2ee7b256af56,547.10%,15.04%,18.75%
Atlas Islamic Fund of Funds (Atlas Conservative Allocation Islamic Plan),https://sarmaaya.pk/mutual-funds/fund/c4449f87-5bd1-48d6-a990-9563059bcadc,3.07%,-5.77%,18.58%
Atlas Sovereign Fund,https://sarmaaya.pk/mutual-funds/fund/3bd612ea-59a2-469f-81cd-a2e6d2fafc4f,43.29%,10.10%,18.48%
Lakson Income Fund,https://sarmaaya.pk/mutual-funds/fund/adce89fe-b1cc-402a-8c33-7ae4a6cb1762,39.46%,10.57%,18.14%
AKD Islamic Daily Dividend Fund,https://sarmaaya.pk/mutual-funds/fund/9747efd9-f18e-435e-985e-7bd1e98a9de1,0%,8.06%,18.09%
NBP Income Opportunity Fund,https://sarmaaya.pk/mutual-funds/fund/420ab986-707a-427b-9665-75e42150c3ed,11.72%,9.66%,18.07%
Alfalah Financial Value Fund (Alfalah Financial Value Plan I),https://sarmaaya.pk/mutual-funds/fund/a534f40e-33d1-49f0-b9ae-0c7da70c2e9b,0.06%,1.13%,17.90%
Atlas Pension Fund,https://sarmaaya.pk/mutual-funds/fund/011a163d-44ad-40d3-9a5d-0eebe3e8b76d,31.65%,10.96%,17.84%
UBL Retirement Saving Fund,https://sarmaaya.pk/mutual-funds/fund/203b9461-0f90-402c-95ab-399df1e8a7c9,50.30%,10.70%,17.80%
Pakistan Income Enhancement Fund,https://sarmaaya.pk/mutual-funds/fund/65b1a8d7-249b-408b-b002-45b8a2567c15,7.34%,10.62%,17.71%
